Farmer_Message,Advisor_Reply,Crop,Problem_Type,Language,Location,Season,Urgency_Level,Sentiment,Advisor_Type,Product_Recommended,Cost_Estimate,Follow_Up_Required,Message_Length,Intent_Tag,Timestamp
എന്റെ നെല്ല് ൽ വെള്ളത്തിന്റെ കുറവ് ഉണ്ട്.,ഡ്രിപ്പ് ഇറിഗേഷൻ കിറ്റ് തളിക്കുക.,Rice,Water,Malayalam,Rajasthan,Zaid,Low,Neutral,NGO,Drip Kit,420,Yes,20,ask_advice,25/11/2024 05:22
અમારા બટાકા ને બજાર સમસ્યા થી નુકસાન થયું છે.,સિંચાઈ પંપ નો છંટકાવ કરો.,Potato,Market,Gujarati,Bihar,Zaid,Medium,Angry,AI,Irrigation Pump,4505,No,9,ask_advice,03/12/2024 23:51
ᱟᱢᱟᱜ ᱠᱟᱯᱟᱥ ᱨᱮ ᱠᱤᱲᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱵᱟᱨᱮ ᱧᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱨ ᱵᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱞᱟᱜᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ।,Cotton,Pest,Santhali,Kerala,Kharif,Medium,Frustrated,AI,None,0,No,7,ask_advice,26/01/2025 05:33
আমার ধান এ বাজারের সমস্যা এর আক্রমণ হয়েছে।,ড্রিপ ইরিগেশন কিট স্প্রে করুন।,Rice,Market,Bengali,Maharashtra,Zaid,High,Angry,Human,Drip Kit,1508,No,8,ask_advice,27/01/2025 14:33
हमर चाय के पोषक तत्व के अभाव से नुकसान भ गेल अछि।,सिंचाई पंप के उपयोग करू।,Tea,Nutrient,Maithili,Rajasthan,Zaid,High,Angry,Govt_Expert,Irrigation Pump,3869,Yes,12,ask_advice,04/08/2024 14:53
म्हज्या नाचणी आंत हवामान समस्या जालां।,निंबोळी तेल वापर।,Ragi,Weather,Konkani,Gujarat,Summer,Medium,Neutral,AI,Neem Oil,3997,Yes,6,ask_advice,05/09/2024 20:23
మా మామిడి కి వ్యాధి నష్టం కలిగింది.,నేలను పరీక్షించి నీటిపారుదల పంపు వాడండి.,Mango,Disease,Telugu,Karnataka,Summer,Medium,Worried,Govt_Expert,Irrigation Pump,1798,No,17,ask_advice,13/01/2024 11:53
আমার রাগি এ বাজারের সমস্যা এর আক্রমণ হয়েছে।,মাটি পরীক্ষা করুন এবং নিম তেল প্রয়োগ করুন।,Ragi,Market,Bengali,Uttar Pradesh,Kharif,High,Neutral,NGO,Neem Oil,348,Yes,8,ask_advice,05/02/2024 18:30
ਮੇਰੀ ਗੰਨਾ ਨੂੰ ਮੌਸਮ ਦੀ ਸਮੱਸਿਆ ਨੇ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ ਹੈ।,ਕੀਟਨਾਸ਼ਕ ਦਾ ਛਿੜਕਾਅ ਕਰੋ।,Sugarcane,Weather,Punjabi,Maharashtra,Winter,High,Hopeful,AI,Pesticide,3160,Yes,10,ask_advice,21/06/2024 02:24
मसालो को खेत रोग रो कारण खराब हो रियो है।,नीम रो तेल रो छिड़काव करो।,Spices,Disease,Rajasthani,Bihar,Monsoon,Medium,Worried,Govt_Expert,Neem Oil,3364,Yes,10,ask_advice,30/12/2024 23:30
म्हज्या डाळ आक बाजार समस्या नुकसान जालें।,खत ची फवारणी कर।,Pulses,Market,Konkani,West Bengal,Zaid,Medium,Angry,Human,Fertilizer,2715,Yes,7,ask_advice,20/03/2025 23:04
हमार बाजरा के रोग से नुकसान भइल बा।,कीटनाशक के उपयोग करीं।,Millets,Disease,Bhojpuri,Jharkhand,Winter,Medium,Neutral,NGO,Pesticide,768,No,8,ask_advice,25/06/2024 23:40
અમારા ડુંગળી માં પોષક તત્વોની ઉણપ થયા છે.,જમીનનું પરીક્ષણ કરો અને ખાતર લગાવો.,Onion,Nutrient,Gujarati,Telangana,Winter,High,Angry,Human,Fertilizer,4924,Yes,8,ask_advice,09/01/2024 22:43
ଆଳୁ ଫସଲ ରୋଗ କାରଣରୁ ନଷ୍ଟ ହେଉଛି।,ଫଙ୍ଗିସାଇଡ୍ ବ୍ୟବହାର କରନ୍ତୁ।,Potato,Disease,Odia,Mizoram,Rabi,High,Frustrated,Human,Fungicide,2710,Yes,6,ask_advice,01/07/2024 14:53
ಎನ್ನ ರಾಗಿ ಡ್ ಮಾರುಕಟ್ಟೆ ಸಮಸ್ಯೆ ಆತ್ಂಡ್.,ಗೊಬ್ಬರ ಸಿಂಪಿಲೆ।,Millets,Market,Tulu,Tamil Nadu,Winter,High,Worried,Govt_Expert,Fertilizer,1661,No,6,ask_advice,16/01/2024 11:41
ঐগী টমেটো দা মৌজমগী সমস্যা গী আক্রমণ ওইরে।,ড্ৰিপ ইৰিগেচন কিট শিজিন্নবা।,Tomato,Weather,Manipuri,Jharkhand,Kharif,Medium,Neutral,AI,Drip Kit,3101,No,8,ask_advice,03/12/2024 04:40
தேநீர் பயிர் ஊட்டச்சத்து குறைபாடு காரணமாக பாதிக்கப்பட்டுள்ளது.,உரம் தெளிக்கவும்.,Tea,Nutrient,Tamil,Bihar,Summer,High,Hopeful,Govt_Expert,Fertilizer,3499,Yes,31,ask_advice,03/05/2024 19:35
ಎನ್ನ ತೇ ಡ್ ನೀರ್ ಕೊರತೆ ಆತ್ಂಡ್.,ಡ್ರಿಪ್ ನೀರಾವರಿ ಕಿಟ್ ಸಿಂಪಿಲೆ।,Tea,Water,Tulu,Tripura,Rabi,High,Frustrated,AI,Drip Kit,1609,Yes,6,ask_advice,02/06/2024 06:35
અમારા ચા ને પોષક તત્વોની ઉણપ થી નુકસાન થયું છે.,કંઈ નહીં નો ઉપયોગ કરો.,Tea,Nutrient,Gujarati,Punjab,Monsoon,High,Worried,AI,None,0,Yes,10,ask_advice,13/02/2025 04:39
ᱟᱢᱟᱜ ᱢᱟᱱᱫᱤᱭᱟ ᱨᱮ ᱢᱟᱹᱣᱥᱟᱢ ᱵᱟᱹᱜᱟᱱᱟ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱵᱟᱨᱮ ᱧᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱨ ᱱᱤᱢ ᱛᱮᱞ ᱞᱟᱜᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ।,Ragi,Weather,Santhali,Mizoram,Summer,High,Worried,AI,Neem Oil,3627,No,6,ask_advice,03/07/2024 08:19
कपास के फसल बाजार के समस्या के कारण खराब हो रहल बा।,कीटनाशक के छिड़काव करीं।,Cotton,Market,Bhojpuri,Karnataka,Monsoon,High,Hopeful,Govt_Expert,Pesticide,1526,No,12,ask_advice,03/10/2024 20:46
गेहूं के फसल रोग के कारण खराब हो रहल बा।,खाद के उपयोग करीं।,Wheat,Disease,Bhojpuri,Karnataka,Summer,High,Hopeful,NGO,Fertilizer,4049,Yes,10,ask_advice,20/12/2024 06:44
মোৰ বেগুন ত ৰোগ হৈছে।,একো নাই ব্যৱহাৰ কৰক।,Brinjal,Disease,Assamese,West Bengal,Rabi,High,Worried,AI,None,0,No,5,ask_advice,05/03/2025 17:52
અમારા ચા ને પાણીની અછત થી નુકસાન થયું છે.,જમીનનું પરીક્ષણ કરો અને ખાતર લગાવો.,Tea,Water,Gujarati,Meghalaya,Zaid,High,Angry,AI,Fertilizer,4001,Yes,9,ask_advice,09/11/2024 22:24
ਮੇਰੀ ਦਾਲ ਨੂੰ ਕੀੜੇ ਨੇ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ ਹੈ।,ਫੰਜੀਸਾਈਡ ਦਾ ਛਿੜਕਾਅ ਕਰੋ।,Pulses,Pest,Punjabi,Bihar,Kharif,Low,Neutral,AI,Fungicide,4958,Yes,8,ask_advice,08/05/2024 00:33
মোৰ কফি ত সঁজুলিৰ সমস্যা হৈছে।,ড্ৰিপ ইৰিগেচন কিট ব্যৱহাৰ কৰক।,Coffee,Equipment,Assamese,Punjab,Summer,Medium,Hopeful,AI,Drip Kit,760,No,6,ask_advice,17/04/2025 14:31
எனது கேழ்வரகு க்கு வானிலை பிரச்சனை தாக்குதல் உள்ளது.,வேப்ப எண்ணெய் பயன்படுத்தவும்.,Ragi,Weather,Tamil,Mizoram,Winter,Low,Worried,Govt_Expert,Neem Oil,3052,No,26,ask_advice,13/04/2024 06:47
नाचणी चें पीक हवामान समस्या कारणान खराब जाला।,कीटकनाशक ची फवारणी कर।,Ragi,Weather,Konkani,Goa,Zaid,High,Neutral,Human,Pesticide,113,No,8,ask_advice,20/10/2024 13:09
কফি শস্য পানীৰ অভাৱৰ কাৰণে নষ্ট হৈছে।,ফাংগিচাইড স্প্ৰে কৰক।,Coffee,Water,Assamese,Bihar,Winter,Low,Frustrated,Private,Fungicide,2009,No,7,ask_advice,24/07/2024 18:05
আম ফসল রোগ এর কারণে নষ্ট হচ্ছে।,মাটি পরীক্ষা করুন এবং ড্রিপ ইরিগেশন কিট প্রয়োগ করুন।,Mango,Disease,Bengali,Goa,Summer,High,Hopeful,Govt_Expert,Drip Kit,1815,Yes,7,ask_advice,06/02/2025 19:40
ᱟᱢᱟᱜ ᱵᱮᱜᱩᱱ ᱨᱮ ᱫᱟᱜ ᱵᱟᱹᱜᱟᱱᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱱᱤᱢ ᱛᱮᱞ ᱵᱮᱵᱷᱟᱨ ᱢᱮᱱᱟᱜᱼᱟ।,Brinjal,Water,Santhali,Uttarakhand,Rabi,High,Angry,AI,Neem Oil,908,Yes,8,ask_advice,13/04/2024 05:34
منہ گنا منز بیماری آیو۔,کہین نہ استیمال کرو۔,Sugarcane,Disease,Kashmiri,Manipur,Monsoon,Medium,Hopeful,Private,None,0,Yes,5,ask_advice,28/03/2025 12:16
हमार केला के उपकरण के समस्या से नुकसान भइल बा।,ड्रिप किट के उपयोग करीं।,Banana,Equipment,Bhojpuri,Tamil Nadu,Kharif,Low,Hopeful,Human,Drip Kit,4857,Yes,10,ask_advice,17/08/2024 23:21
मसाले चे पीक पाण्याची कमतरता मुळे खराब झाले आहे.,सिंचन पंप ची फवारणी करा.,Spices,Water,Marathi,Rajasthan,Rabi,Medium,Angry,Human,Irrigation Pump,702,Yes,9,ask_advice,02/12/2024 19:37
വാഴപ്പഴം വിള വിപണി പ്രശ്നം മൂലം നശിക്കുന്നു.,മണ്ണ് പരിശോധിച്ച് വളം പ്രയോഗിക്കുക.,Banana,Market,Malayalam,Rajasthan,Monsoon,Medium,Hopeful,AI,Fertilizer,3967,Yes,22,ask_advice,02/12/2024 22:27
എന്റെ തിന ന് രോഗം നാശം വരുത്തി.,കീടനാശിനി ഉപയോഗിക്കുക.,Millets,Disease,Malayalam,Tamil Nadu,Monsoon,Low,Angry,AI,Pesticide,3365,Yes,15,ask_advice,31/01/2025 23:07
ಚಹಾ ಬೆಳೆ ಪೋಷಕಾಂಶಗಳ ಕೊರತೆ ಕಾರಣದಿಂದ ಹಾಳಾಗುತ್ತಿದೆ.,ಮಣ್ಣನ್ನು ಪರೀಕ್ಷಿಸಿ ಮತ್ತು ಯಾವುದೂ ಇಲ್ಲ ಹಾಕಿ.,Tea,Nutrient,Kannada,Arunachal Pradesh,Monsoon,Low,Frustrated,NGO,None,0,No,23,ask_advice,14/09/2024 06:13
منہ ٹماٹر کو بازار دی پریشانی نی نقصان کرو۔,ففوندناشک استیمال کرو۔,Tomato,Market,Kashmiri,Rajasthan,Summer,Low,Frustrated,Govt_Expert,Fungicide,2867,Yes,9,ask_advice,16/02/2024 00:03
పత్తి పంట పురుగులు వల్ల దెబ్బతింది.,పురుగుమందు స్ప్రే చేయండి.,Cotton,Pest,Telugu,Tripura,Zaid,Medium,Frustrated,Human,Pesticide,1262,Yes,17,ask_advice,11/11/2024 18:01
धान की फसल पानी की कमी से खराब हो रही है।,उर्वरक का उपयोग करें।,Rice,Water,Hindi,Nagaland,Kharif,High,Worried,Human,Fertilizer,3372,No,11,ask_advice,27/10/2024 19:39
म्हारा सेब में कीड़ा हो गया है।,फफूंदनाशक को उपयोग करो।,Apple,Pest,Rajasthani,Manipur,Zaid,High,Worried,NGO,Fungicide,4200,No,7,ask_advice,07/03/2024 00:53
టీ పంట సామగ్రి సమస్య వల్ల దెబ్బతింది.,డ్రిప్ ఇరిగేషన్ కిట్ స్ప్రే చేయండి.,Tea,Equipment,Telugu,Himachal Pradesh,Winter,Medium,Angry,Govt_Expert,Drip Kit,3155,Yes,18,ask_advice,07/06/2024 17:17
ಹತ್ತಿ ಬೆಳೆ ಪೋಷಕಾಂಶಗಳ ಕೊರತೆ ಕಾರಣದಿಂದ ಹಾಳಾಗುತ್ತಿದೆ.,ಮಣ್ಣನ್ನು ಪರೀಕ್ಷಿಸಿ ಮತ್ತು ಶಿಲೀಂಧ್ರನಾಶಕ ಹಾಕಿ.,Cotton,Nutrient,Kannada,Bihar,Summer,Medium,Frustrated,AI,Fungicide,4936,No,24,ask_advice,04/02/2024 07:49
எனது கரும்பு க்கு ஊட்டச்சத்து குறைபாடு தாக்குதல் உள்ளது.,எதுவுமில்லை பயன்படுத்தவும்.,Sugarcane,Nutrient,Tamil,Kerala,Rabi,Medium,Angry,Private,None,0,No,28,ask_advice,06/09/2024 12:59
ᱟᱢᱟᱜ ᱠᱮᱨᱟ ᱨᱮ ᱥᱟᱡᱟᱜ ᱵᱟᱹᱜᱟᱱᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱫᱟᱜ ᱥᱤᱛᱮᱢ ᱠᱤᱛ ᱥᱤᱢᱯᱟᱹᱲᱤ ᱢᱮᱱᱟᱜᱼᱟ।,Banana,Equipment,Santhali,Karnataka,Monsoon,Low,Neutral,Human,Drip Kit,1164,No,8,ask_advice,18/11/2024 07:00
